0:00:26.877308908  6392 000000000EF160C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:26.877367896  6392 000000000EF160C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:26.879126426  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:26.880357512  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:29.346700486  6392 0000000008A69EC0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:29.346865959  6392 0000000008A69EC0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:29.347162814  6392 0000000008A69EC0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:29.347219886  6392 0000000008A69EC0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:29.368732866  6392 000000000EF160C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:29.368835137  6392 000000000EF160C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:29.369146547  6392 000000000EF160C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:29.369208983  6392 000000000EF160C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:29.370379932  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
